"","x"
"1",1.81981454192322
"2",1.01140426470735
"3",1.83339495161726
"4",1.01140426470735
"5",1.54186438633268
"6",0
"7",1.82067325252008
"8",0
"9",1.65732232802498
"10",1.61936402468027
"11",1.09005965871078
"12",0
"13",0.398307113805284
"14",0.540204142388861
"15",2.17122418325619
"16",1.46097074772182
"17",1.75196371687685
"18",0
"19",0
"20",0
"21",1.18880335301278
"22",1.09425733247737
"23",0.978333860428846
"24",0
"25",1.0304089991452
"26",0
"27",0.0922160573371918
"28",0.202273001797436
"29",0
"30",0
"31",0.264052051825629
"32",0.214559155176405
"33",0.647446639034633
"34",0.683988432967782
"35",1.07757229571284
"36",1.32731335817434
"37",0.562335144618808
"38",0.658109987543114
"39",0.426461499914238
"40",0.411313778578455
"41",0.257292007647954
"42",0.292308972645613
"43",1.35584230687987
"44",1.33383022871791
"45",0.939588473746571
"46",1.01310549182725
"47",1.97368262441074
"48",1.97127497458004
"49",1.92654068005999
"50",1.82278051727885
"51",0.988737268889763
"52",1.06383467540675
"53",0.406568859238361
"54",0.374085344895855
"55",1.22586191715708
"56",1.4289978727145
"57",1.52465437724432
"58",1.54916725371934
"59",0.691603175869498
"60",0.627941588739906
"61",1.82555612085774
"62",1.94789265099288
"63",0.859251682569162
"64",0.900731327523689
"65",1.08459171636654
"66",0.973596578235699
