"","SER","xingTYPE","LOC","mWET","sdWET","mBANK","sdBANK","mDEPTH","sdDEPTH","mVELO","sdVELO","mTEMP","sdTEMP","mDO","sdDO","mPH","sdPH","mCOND","sdCOND","mTURBID","sdTURBID","mFINES","sdFINES","mROCK","sdROCK","mPOOL","sdPOOL","mRIFF","sdRIFF","mRUN","sdRUN"
"1",101,"culvert","up",3.79857142857143,0.662606685030885,6.92857142857143,1.73080355684317,0.237857142857143,0.0654610025675047,0.164,0.0358050275799363,19.725,0.170782512765993,7.5,0.114309521329882,8.33,0.0163299316185542,209.125,5.39158294628458,4.4375,0.91532781013143,48.5714285714286,21.7398033022161,51.4285714285714,21.7398033022161,54.1666666666667,20.8366664000427,11.6666666666667,4.08248290463863,27.5,9.87420882906575
"2",101,"culvert","zdown",3.54,0.917296753146621,8.48714285714286,2.39742024049264,0.221857142857143,0.112294892391163,0.08025,0.0241574695142793,19.075,0.55,8.23,0.129357386079548,8.375,0.0129099444873587,211.3,3.39116499156263,11.685,3.03637393393282,43.5714285714286,14.638501094228,56.4285714285714,14.638501094228,30,16.1245154965971,25,13.0384048104053,33.3333333333333,12.5166555703457
"3",102,"culvert","up",4.09428571428571,0.574655176108744,5.22142857142857,0.76152103432163,0.355285714285714,0.187834780490475,0.09075,0.0111766124861993,18.875,0.287228132326901,7.24,0.114600756251141,7.9275,0.0262995563967658,144.65,2.70616579930596,4.33,0.200499376557634,61.4285714285714,40.8976655521932,38.5714285714286,40.8976655521932,62.5,14.0534693225552,13.3333333333333,4.08248290463863,24.1666666666667,12.8127540625217
"4",102,"culvert","zdown",3.55142857142857,1.58782270810722,5.20571428571429,0.753743040716511,0.180428571428571,0.0752835908257506,0.08225,0.00935859676091097,17.725,0.607590871118607,8.605,0.186993761036743,8.115,0.0300000000000002,142.75,2.2722969289539,7.3525,0.734183219639348,49.2857142857143,24.226117351007,55,28.4312035153866,43.3333333333333,11.6904519445001,22.5,10.3682206766639,27.5,10.8397416943394
"5",103,"culvert","up",2.79142857142857,0.534678363486828,3.73428571428571,1.02695110469222,0.381857142857143,0.168683558348592,0.1245,0.0646658075544307,19.6,0.605530070819499,7.43,0.251263473933903,7.905,0.0299999999999999,273.4,2.46170672501823,11.35,0.313155978174882,92.8571428571429,8.09173593712687,7.85714285714286,8.09173593712687,74.1666666666667,13.9343699773857,10,11.4017542509914,15.8333333333333,3.7638632635454
"6",103,"culvert","zdown",2.46,0.452143045211726,3.99428571428571,0.940954429340358,0.193428571428571,0.127130978578338,0.1735,0.0904894100618041,17.925,0.618465843842649,8.735,0.593099204742905,8.145,0.147082743152735,271.025,2.05324945716132,11.2525,0.614566242700221,41.4285714285714,13.1384568203061,58.5714285714286,13.1384568203061,48.3333333333333,14.3759057685652,20,7.07106781186548,32.5,8.21583836257749
"7",104,"culvert","up",1.62857142857143,0.286264945544541,1.93142857142857,0.503369598188997,0.243857142857143,0.0875831577634052,0.09875,0.0167804449682758,18.6,0.216024689946928,7.185,0.108781125813871,7.7325,0.0718215380880508,171.125,0.921502396451945,1.155,0.0759385716659634,76.4285714285714,26.254251356413,23.5714285714286,26.254251356413,85,8.36660026534076,1.66666666666667,2.58198889747161,13.3333333333333,7.52772652709081
"8",104,"culvert","zdown",1.69142857142857,0.503170897788169,2.44857142857143,0.450460082265106,0.195571428571429,0.120754374859129,0.0945,0.0198074060223274,17.15,0.838649708360608,7.195,0.107238052947636,7.8075,0.0249999999999999,188.8,2.64323034687987,1.6775,0.563582292127778,46.4285714285714,17.4914945316969,53.5714285714286,17.4914945316969,35.8333333333333,12.8127540625217,23.3333333333333,8.16496580927726,30,5.47722557505166
"9",105,"dbridge","up",4.87142857142857,0.914429304200687,6.24714285714286,0.937616024566458,0.226,0.100134908997812,0.2875,0.148551898899565,16.2,1.01324561023804,9.105,0.0911043357914433,8.11,0.00816496580927709,228.8,1.3735598518691,2.6825,0.330088372005639,35,20.6155281280883,63.5714285714286,18.8667003196738,41.6666666666667,14.7196014438797,30.8333333333333,8.61200712184254,27.5,6.89202437604511
"10",105,"dbridge","zdown",4.65285714285714,0.970218433922902,5.89428571428571,0.831622052434421,0.185285714285714,0.0489105110915649,0.27925,0.0754381645234471,15.975,0.0957427107756342,9.3575,0.0822090830342565,8.165,0.0556776436283004,231.35,0.759385716659633,3.4025,0.578583039272094,30.7142857142857,8.38081709847526,82.1428571428571,8.59124692984225,22.5,11.7260393995586,45.8333333333333,15.3025052415174,31.6666666666667,9.83192080250175
