SER,SITE_ID,xingTYPE,xingTYPE,LOC,SiteID,TRANSECT,COND,TURBID,FINES,GRAVEL,COBBLE,BOULDER,sumROCK,meanROCK,WET_W,BANK_W,DEP_L,DEP_M,DEP_R,mean_DEPTH,VELO,TEMP,DO,pH,POOL,RIFF,RUN
105,UA_385,dbridge,bridge,zdown,105bridgeD,T6,232.1,2.55,15,20,45,15,80,26.66666667,4.7,5.39,0.23,0.17,0.16,0.187,0.341,16,9.45,8.24,30,30,40
107,UA_442,dbridge,bridge,zdown,107bridgeD,T0,287.6,1.75,40,25,35,0,60,20,2.11,4.36,0.24,0.01,0,0.083,0.201,10.4,10.91,8.57,NA,NA,NA
107,UA_442,dbridge,bridge,zdown,107bridgeD,T1,NA,NA,40,60,0,0,60,20,3.13,4.41,0.017,0.14,0,0.052,NA,NA,NA,NA,30,30,40
107,UA_442,dbridge,bridge,zdown,107bridgeD,T2,281.3,1.43,50,10,30,10,50,16.66666667,2.67,4.2,0.18,0.2,0.26,0.213,0.197,10.4,10.76,8.56,25,30,45
107,UA_442,dbridge,bridge,zdown,107bridgeD,T3,NA,NA,30,35,35,0,70,23.33333333,3.87,3.87,0.1,0.24,0.21,0.183,NA,NA,NA,NA,40,20,40
107,UA_442,dbridge,bridge,zdown,107bridgeD,T4,282.6,2.11,30,45,15,10,70,23.33333333,4.65,4.65,0.12,0.15,0.09,0.12,0.186,10.4,10.78,8.56,20,40,40
107,UA_442,dbridge,bridge,zdown,107bridgeD,T5,NA,NA,35,40,25,0,65,21.66666667,2.77,3.19,0.2,0.45,0.13,0.26,NA,NA,NA,NA,15,50,35
107,UA_442,dbridge,bridge,zdown,107bridgeD,T6,288.1,1.98,35,45,20,0,65,21.66666667,2.6,4.22,0.07,0.25,0.16,0.16,0.206,10.5,10.88,8.57,20,40,40
126,UA_154,dbridge,bridge,zdown,126bridgeD,T0,265.4,2.64,40,20,25,15,60,20,2.3,3.54,0,0.1,0.1,0.067,0.185,12.1,10.82,8.61,NA,NA,NA
126,UA_154,dbridge,bridge,zdown,126bridgeD,T1,NA,NA,45,15,30,10,55,18.33333333,3.55,3.55,0.02,0.07,0.03,0.04,NA,NA,NA,NA,30,40,30
126,UA_154,dbridge,bridge,zdown,126bridgeD,T2,261.3,3.64,20,35,35,10,80,26.66666667,2,3.11,0.13,0.08,0,0.07,0.155,12.2,10.7,8.64,40,35,25
126,UA_154,dbridge,bridge,zdown,126bridgeD,T3,NA,NA,35,5,40,20,65,21.66666667,1.98,3.08,0.07,0.07,0,0.047,NA,NA,NA,NA,30,40,30
126,UA_154,dbridge,bridge,zdown,126bridgeD,T4,264.9,3.84,50,30,10,10,50,16.66666667,1.65,3.33,0.13,0.19,0.01,0.11,0.229,12.1,10.71,8.62,30,25,45
126,UA_154,dbridge,bridge,zdown,126bridgeD,T5,NA,NA,30,40,30,0,70,23.33333333,2.52,2.72,0.14,0.02,0.01,0.054,NA,NA,NA,NA,25,30,45
126,UA_154,dbridge,bridge,zdown,126bridgeD,T6,260.1,3.14,40,50,5,5,60,20,2.64,2.64,0.08,0.09,0.08,0.083,0.25,12.1,10.69,8.62,40,40,20
127,UA_359,dbridge,bridge,zdown,127bridgeD,T0,210.4,3.8,40,20,30,10,60,20,1.21,2.9,0.1,0.14,0.1,0.113,0.187,13.7,9.75,8.61,NA,NA,NA
127,UA_359,dbridge,bridge,zdown,127bridgeD,T1,NA,NA,30,20,40,10,70,23.33333333,1.43,4.2,0.12,0.16,0.08,0.12,NA,NA,NA,NA,40,50,10
