treat,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10,spec11,spec12,spec13,spec14,spec15,spec16
briD,0,0,24,11,2,52,7,26,56,0,0,279,0,13,6,7
briU,2,0,18,9,3,46,3,32,56,0,0,213,0,12,4,3
culD,0,17,103,33,2,89,17,71,96,0,22,84,2,43,0,0
culU,1,0,28,9,1,26,4,17,14,0,2,10,0,13,0,0
refD,5,8,77,17,5,64,14,41,183,1,30,240,0,28,2,7
refU,4,0,99,14,8,59,19,38,162,0,37,237,0,26,2,12
