"","x"
"1",0.93519967651471
"2",0.920619835714305
"3",0.881676601563026
"4",0.920619835714305
"5",0.95801420758181
"6",NA
"7",0.875558757496631
"8",NA
"9",0.924969202891395
"10",0.832188487976399
"11",0.992215060722018
"12",NA
"13",0.574635697837679
"14",0.779349837292085
"15",0.942950681763059
"16",0.907752163929241
"17",0.97778956772119
"18",NA
"19",NA
"20",NA
"21",0.857540350991855
"22",0.996035948044944
"23",0.890517856499601
"24",NA
"25",0.937918690491261
"26",NA
"27",0.133039648610699
"28",0.291818256598886
"29",NA
"30",NA
"31",0.38094658570539
"32",0.309543429150325
"33",0.934068055375491
"34",0.986786720268032
"35",0.980848573084162
"36",0.957454199771895
"37",0.811278124459133
"38",0.949452015387949
"39",0.615253891056341
"40",0.374393935714215
"41",0.23419727805874
"42",0.266071093197028
"43",0.978033486181519
"44",0.962155128179561
"45",0.85525028569057
"46",0.922168359372239
"47",0.949140711508695
"48",0.947982876685045
"49",0.926470228397798
"50",0.936723886333477
"51",0.899987446971349
"52",0.968344052201049
"53",0.252615435548843
"54",0.269845535975244
"55",0.884272454348578
"56",0.887886299728891
"57",0.947321027711126
"58",0.962551734211597
"59",0.997772472089982
"60",0.905928216042999
"61",0.830846395806718
"62",0.886524150095931
"63",0.782124587019563
"64",0.819880986963727
"65",0.987237925111354
"66",0.886205796419798
